Item,Timestamp,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,DateTime,Date,Best_Bid_Price,Best_Ask_Price,Spread,Reference_Price
ETH_USDT,1735054402.086526,3964.12,0.00474,3095.0,0.11308,2024-12-24T19:03:22.086530,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054402.086526,3967.66,0.01265,3092.3,0.02066,2024-12-24T19:03:22.086530,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3497.7,0.00723,3480.31,0.02455,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3500.0,0.00472,3480.24,0.00723,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3501.28,0.1428,3477.72,0.0543,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3520.0,0.98483,3475.4,0.14386,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3525.0,0.05458,3474.0,0.08635,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3546.0,0.01129,3449.96,0.05275,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3560.0,0.00285,3370.0,0.0089,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3602.01,0.00455,3355.0,0.10032,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3614.32,0.05307,3317.95,0.00988,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3700.0,0.00967,3313.83,0.03017,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3769.07,0.03773,3300.0,0.01212,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3780.0,0.00603,3259.0,0.01199,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3810.0,0.00499,3240.21,0.00405,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3850.0,0.02975,3220.0,0.01242,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3858.58,0.00316,3200.0,0.01492,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3890.58,0.01124,3150.0,0.05958,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3900.0,0.09953,3110.0,0.00851,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3950.0,0.47516,3100.0,0.16471,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3964.12,0.00474,3095.0,0.11308,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054417.599006,3967.66,0.01265,3092.3,0.02066,2024-12-24T19:03:37.599010,2024-12-24,3480.31,3497.7,17.389999999999873,3489.005
ETH_USDT,1735054433.113413,3497.7,0.00723,3478.46,0.00723,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3500.0,0.00472,3477.72,0.0543,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3501.28,0.1428,3475.4,0.14386,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3520.0,0.98483,3474.0,0.08635,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3525.0,0.05458,3449.96,0.05275,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3546.0,0.01129,3370.0,0.0089,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3560.0,0.00285,3355.0,0.10032,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3602.01,0.00455,3317.95,0.00988,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3614.32,0.05307,3313.83,0.03017,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3700.0,0.00967,3300.0,0.01212,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3769.07,0.03773,3259.0,0.01199,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3780.0,0.00603,3240.21,0.00405,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3810.0,0.00499,3220.0,0.01242,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3850.0,0.02975,3200.0,0.01492,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3858.58,0.00316,3150.0,0.05958,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3890.58,0.01124,3110.0,0.00851,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3900.0,0.09953,3100.0,0.16471,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3950.0,0.47516,3095.0,0.11308,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3964.12,0.00474,3092.3,0.02066,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
ETH_USDT,1735054433.113413,3967.66,0.01265,3080.39,0.0098,2024-12-24T19:03:53.113417,2024-12-24,3478.46,3497.7,19.23999999999978,3488.08
